TTHERM_ID,000min_A,000min_B,030min_A,030min_B,060min_A,060min_B,090min_A,090min_B,120min_A,120min_B,150min_A,150min_B,180min_A,180min_B,210min_A,210min_B,240min_A,240min_B
TTHERM_00255625,0.631722,1.76387,0.37655,1.31462,0.171994,0.813828,0.246194,0.734534,0.28531,0.878094,0.27566,1.14522,0.327253,0.713452,0.394228,0.508883,0.475231,0.5147
TTHERM_00255630,0.226905,0.29404,1.57263,0.800867,1.28388,0.933981,1.20308,0.820227,1.33107,0.989037,1.67769,1.00776,1.35386,1.20642,0.656485,0.910738,0.515984,0.843585
TTHERM_00255640,2.62971,2.79042,2.74909,3.53236,3.72325,3.71549,2.97175,3.92897,3.47188,4.11083,3.83732,4.07403,3.43905,3.25751,3.17665,3.5677,3.01911,3.42368
TTHERM_00255644,0.0059405,0.0155772,0.00280582,0.0,0.00594864,0.00951711,0.00646597,0.0139661,0.0127939,0.00257541,0.013566,0.027296,0.00565223,0.0169504,0.00747886,0.00296967,0.00515961,0.00551797
TTHERM_00255647,11.3792,8.47272,12.3748,9.61791,12.5087,9.89921,12.0154,9.64358,13.2023,9.7529,14.3088,8.69575,13.6798,10.7905,11.7344,11.7049,11.6032,11.5241
TTHERM_00255650,1.02486,0.895856,0.732187,0.766577,0.473625,0.717699,0.340373,0.615268,0.458446,0.647154,0.684192,0.813909,0.93747,0.824692,0.833484,0.935064,0.622999,0.722481
TTHERM_00255660,14.9327,14.6874,9.69428,16.5452,10.3218,17.8263,22.1072,28.5406,54.188,42.6862,102.538,49.6434,122.341,72.454,65.0748,81.4338,25.7222,52.2013
TTHERM_00255670,3.78084,2.98473,2.46809,2.96675,1.66256,2.13726,1.77911,2.68817,2.13083,2.33526,1.5338,1.91978,1.41644,1.97941,2.10177,1.81781,2.59127,2.36719
TTHERM_00255680,0.727555,0.567813,0.364005,0.429469,0.385781,0.470787,0.499715,0.563616,0.582265,0.637449,0.910453,0.66129,0.725883,0.710751,0.651928,0.634542,0.54767,0.585535
TTHERM_00255690,0.130838,0.15073,0.0653905,0.0667437,0.0739632,0.0899547,0.0921465,0.0708969,0.111082,0.0907872,0.163524,0.123115,0.140504,0.112668,0.108401,0.113748,0.0788266,0.135802
