,TTHERM_ID,leiden_label_full
17477,TTHERM_00646940,647
17476,TTHERM_00558270,647
17485,TTHERM_00530128,647
17474,TTHERM_00469320,647
17484,TTHERM_00382300,647
17481,TTHERM_00378730,647
17472,TTHERM_00375190,647
17482,TTHERM_00295320,647
17480,TTHERM_000783189,647
17475,TTHERM_000782169,647
17473,TTHERM_00039040,647
20065,TTHERM_00275720,646
20063,TTHERM_00189580,646
20064,TTHERM_000415569,646
17435,TTHERM_01253360,645
17436,TTHERM_01205290,645
17434,TTHERM_01027730,645
17443,TTHERM_00994290,645
17439,TTHERM_00994270,645
17431,TTHERM_00865380,645
17442,TTHERM_00823810,645
17441,TTHERM_00721220,645
17440,TTHERM_00656160,645
17430,TTHERM_00532210,645
17438,TTHERM_00474370,645
17437,TTHERM_00467650,645
17433,TTHERM_00267950,645
17432,TTHERM_00190990,645
17877,TTHERM_01127480,644
17875,TTHERM_01028740,644
17879,TTHERM_00910100,644
17878,TTHERM_00908100,644
17868,TTHERM_00399270,644
17874,TTHERM_00335720,644
17876,TTHERM_00321620,644
17870,TTHERM_00232980,644
17872,TTHERM_00219310,644
17873,TTHERM_00193350,644
17871,TTHERM_001002681,644
17869,TTHERM_000213628,644
14852,TTHERM_01228980,643
14861,TTHERM_01164080,643
14829,TTHERM_01127440,643
14841,TTHERM_01055580,643
14840,TTHERM_00919530,643
14845,TTHERM_00878150,643
14834,TTHERM_00823800,643
14828,TTHERM_00819440,643
14846,TTHERM_00693070,643
14842,TTHERM_00649440,643
14854,TTHERM_00621360,643
14860,TTHERM_00594230,643
14850,TTHERM_00561730,643
14858,TTHERM_00481270,643
14855,TTHERM_00471830,643
14831,TTHERM_00444600,643
14865,TTHERM_00440430,643
14864,TTHERM_00419810,643
14859,TTHERM_00408860,643
14863,TTHERM_00393080,643
14862,TTHERM_00378610,643
14857,TTHERM_00351170,643
14844,TTHERM_00300440,643
14839,TTHERM_00298540,643
14849,TTHERM_00238830,643
14847,TTHERM_00219430,643
14856,TTHERM_00161430,643
14827,TTHERM_00143730,643
14836,TTHERM_00138280,643
14853,TTHERM_001228989,643
14851,TTHERM_00085490,643
14848,TTHERM_00051870,643
14838,TTHERM_000481289,643
14833,TTHERM_000475369,643
14843,TTHERM_000442959,643
14837,TTHERM_000400749,643
14830,TTHERM_000393229,643
14826,TTHERM_00037460,643
14835,TTHERM_00030250,643
14832,TTHERM_000158459,643
14825,TTHERM_000011208,643
20072,TTHERM_00780940,642
20074,TTHERM_00474739,642
20073,TTHERM_00295600,642
18620,TTHERM_01406910,641
18616,TTHERM_01309110,641
18621,TTHERM_00856500,641
18617,TTHERM_00688430,641
18619,TTHERM_00654240,641
18615,TTHERM_000992891,641
18618,TTHERM_00085060,641
18614,TTHERM_000444589,641
17975,TTHERM_00881500,640
17978,TTHERM_00729200,640
17981,TTHERM_00600150,640
17974,TTHERM_00571820,640
17980,TTHERM_00554230,640
17977,TTHERM_00547940,640
17979,TTHERM_00530170,640
17973,TTHERM_00263170,640
17976,TTHERM_000825449,640
17972,TTHERM_00011602,640
17971,TTHERM_000011599,640
14944,TTHERM_00977683,639
14912,TTHERM_00975390,639
14911,TTHERM_00971950,639
14937,TTHERM_00963210,639
14943,TTHERM_00756380,639
14941,TTHERM_00715780,639
14933,TTHERM_00700890,639
14934,TTHERM_00693000,639
14928,TTHERM_00670700,639
14938,TTHERM_00575550,639
14927,TTHERM_00538690,639
14918,TTHERM_00533930,639
14920,TTHERM_00497420,639
14942,TTHERM_00474740,639
14926,TTHERM_00473170,639
14936,TTHERM_00471550,639
14940,TTHERM_00421180,639
14935,TTHERM_00418640,639
14924,TTHERM_00372540,639
14908,TTHERM_00372490,639
14922,TTHERM_00348740,639
14939,TTHERM_00323000,639
14929,TTHERM_00289060,639
14910,TTHERM_00266668,639
14914,TTHERM_00266410,639
14932,TTHERM_00151440,639
14930,TTHERM_00149030,639
14916,TTHERM_001326879,639
14925,TTHERM_00113220,639
14931,TTHERM_000852779,639
14906,TTHERM_00079180,639
14915,TTHERM_000762881,639
14923,TTHERM_000652549,639
14921,TTHERM_000621447,639
14919,TTHERM_000578999,639
14917,TTHERM_00051990,639
14913,TTHERM_000390179,639
14909,TTHERM_000252417,639
14907,TTHERM_00019700,639
9943,TTHERM_01434660,638
9889,TTHERM_01434650,638
9882,TTHERM_01434630,638
10016,TTHERM_01400720,638
9982,TTHERM_01297430,638
10051,TTHERM_01253380,638
9942,TTHERM_01250090,638
10047,TTHERM_01211810,638
10022,TTHERM_01179790,638
9960,TTHERM_01142710,638
10066,TTHERM_01142660,638
10084,TTHERM_01127430,638
10085,TTHERM_01125140,638
10021,TTHERM_01099000,638
9939,TTHERM_01090110,638
9940,TTHERM_01084160,638
9913,TTHERM_01079130,638
10059,TTHERM_01068170,638
10049,TTHERM_01043310,638
10088,TTHERM_01038810,638
10036,TTHERM_01016140,638
9963,TTHERM_00992710,638
9941,TTHERM_00989500,638
9997,TTHERM_00985170,638
10050,TTHERM_00971710,638
10042,TTHERM_00942960,638
9946,TTHERM_00941410,638
9986,TTHERM_00938730,638
10087,TTHERM_00927300,638
10053,TTHERM_00923180,638
9924,TTHERM_00885870,638
10076,TTHERM_00878180,638
10031,TTHERM_00864890,638
10041,TTHERM_00854290,638
9999,TTHERM_00837880,638
10020,TTHERM_00836670,638
9996,TTHERM_00833730,638
9887,TTHERM_00825620,638
9985,TTHERM_00823900,638
10070,TTHERM_00813030,638
10034,TTHERM_00809210,638
10079,TTHERM_00784520,638
10078,TTHERM_00784260,638
9922,TTHERM_00780740,638
10086,TTHERM_00756090,638
10083,TTHERM_00756080,638
10082,TTHERM_00732720,638
9918,TTHERM_00727550,638
9962,TTHERM_00726100,638
9885,TTHERM_00717750,638
9970,TTHERM_00717730,638
10071,TTHERM_00716150,638
10058,TTHERM_00716080,638
10011,TTHERM_00715950,638
9881,TTHERM_00701170,638
10069,TTHERM_00701010,638
9954,TTHERM_00688620,638
9917,TTHERM_00683270,638
10064,TTHERM_00675690,638
10000,TTHERM_00670430,638
10080,TTHERM_00667020,638
9892,TTHERM_00666480,638
9967,TTHERM_00658930,638
9907,TTHERM_00657390,638
10019,TTHERM_00653650,638
9899,TTHERM_00647010,638
9984,TTHERM_00633170,638
10073,TTHERM_00629730,638
10081,TTHERM_00624790,638
9916,TTHERM_00622770,638
10044,TTHERM_00621180,638
10065,TTHERM_00613620,638
10038,TTHERM_00600030,638
9966,TTHERM_00599880,638
10010,TTHERM_00584690,638
10077,TTHERM_00582090,638
10014,TTHERM_00581810,638
9927,TTHERM_00571990,638
9976,TTHERM_00551100,638
9921,TTHERM_00543620,638
10043,TTHERM_00537020,638
9938,TTHERM_00533960,638
10006,TTHERM_00530530,638
9945,TTHERM_00529870,638
10075,TTHERM_00529830,638
9935,TTHERM_00529630,638
9959,TTHERM_00527390,638
9908,TTHERM_00499680,638
10074,TTHERM_00497710,638
10072,TTHERM_00492640,638
10045,TTHERM_00486570,638
10001,TTHERM_00486390,638
9994,TTHERM_00473060,638
9897,TTHERM_00471910,638
10009,TTHERM_00470690,638
9953,TTHERM_00467310,638
9950,TTHERM_00449130,638
9906,TTHERM_00448670,638
9952,TTHERM_00446490,638
10060,TTHERM_00440610,638
10068,TTHERM_00439340,638
9905,TTHERM_00436230,638
10067,TTHERM_00429970,638
10003,TTHERM_00420550,638
9880,TTHERM_00420500,638
9989,TTHERM_00420470,638
9975,TTHERM_00414250,638
10018,TTHERM_00410260,638
10063,TTHERM_00395730,638
9981,TTHERM_00389800,638
10030,TTHERM_00388340,638
10040,TTHERM_00384920,638
9912,TTHERM_00384900,638
10062,TTHERM_00382410,638
9979,TTHERM_00378830,638
10061,TTHERM_00378680,638
10028,TTHERM_00378430,638
9933,TTHERM_00372550,638
9884,TTHERM_00348830,638
9974,TTHERM_00348690,638
10026,TTHERM_00343980,638
10013,TTHERM_00339770,638
9919,TTHERM_00334600,638
9904,TTHERM_00334470,638
10029,TTHERM_00334460,638
10057,TTHERM_00322760,638
9930,TTHERM_00321730,638
10055,TTHERM_00318580,638
10054,TTHERM_00316410,638
10056,TTHERM_00313680,638
9910,TTHERM_00312640,638
10052,TTHERM_00295880,638
9978,TTHERM_00295730,638
9886,TTHERM_00295020,638
9988,TTHERM_00275870,638
10025,TTHERM_00268240,638
10017,TTHERM_00266460,638
9956,TTHERM_00261800,638
9874,TTHERM_00261790,638
10024,TTHERM_00256990,638
10048,TTHERM_00252310,638
10005,TTHERM_00249650,638
9896,TTHERM_00239100,638
10046,TTHERM_00238950,638
9890,TTHERM_00237510,638
10039,TTHERM_00225910,638
9928,TTHERM_00224610,638
9879,TTHERM_00224600,638
10033,TTHERM_00219510,638
9973,TTHERM_00213590,638
9903,TTHERM_00209440,638
9990,TTHERM_00203000,638
10037,TTHERM_00198319,638
10035,TTHERM_00197950,638
10032,TTHERM_00194660,638
9926,TTHERM_00193470,638
9914,TTHERM_00191760,638
10027,TTHERM_00191450,638
10023,TTHERM_00170230,638
9878,TTHERM_00158530,638
9972,TTHERM_00155310,638
10015,TTHERM_00151230,638
9936,TTHERM_00146390,638
10012,TTHERM_00143780,638
10008,TTHERM_00138500,638
10007,TTHERM_00134950,638
9998,TTHERM_00129719,638
10004,TTHERM_00128450,638
10002,TTHERM_00128440,638
9961,TTHERM_00127180,638
9944,TTHERM_00112780,638
9958,TTHERM_001005189,638
9995,TTHERM_000985169,638
9993,TTHERM_000947375,638
9992,TTHERM_000895593,638
9991,TTHERM_000886980,638
9969,TTHERM_00087015,638
9987,TTHERM_00085340,638
9983,TTHERM_00083350,638
9980,TTHERM_000825299,638
9977,TTHERM_00079090,638
9971,TTHERM_000773309,638
9968,TTHERM_000770729,638
9895,TTHERM_000728889,638
9965,TTHERM_000709699,638
9964,TTHERM_00070750,638
9947,TTHERM_000683159,638
9957,TTHERM_000666519,638
9955,TTHERM_000630368,638
9951,TTHERM_00059340,638
9949,TTHERM_00059280,638
9948,TTHERM_00058790,638
9902,TTHERM_00058450,638
9877,TTHERM_000571828,638
9876,TTHERM_000571827,638
9894,TTHERM_000564438,638
9937,TTHERM_00056130,638
9934,TTHERM_000437619,638
9932,TTHERM_000423265,638
9931,TTHERM_000423264,638
9929,TTHERM_000420559,638
9901,TTHERM_00041520,638
9923,TTHERM_00037500,638
9925,TTHERM_00037219,638
9920,TTHERM_00035260,638
9915,TTHERM_000313659,638
9911,TTHERM_00030340,638
9909,TTHERM_000277459,638
9900,TTHERM_000209439,638
9898,TTHERM_000198489,638
9893,TTHERM_000134817,638
9891,TTHERM_00013470,638
9888,TTHERM_000123799,638
9883,TTHERM_000030389,638
9875,TTHERM_00002740,638
19806,TTHERM_00497230,637
19805,TTHERM_00312280,637
19807,TTHERM_00289300,637
19804,TTHERM_00237650,637
18831,TTHERM_00576800,636
18830,TTHERM_00566729,636
18825,TTHERM_00218460,636
18829,TTHERM_00112700,636
18828,TTHERM_001055649,636
18827,TTHERM_000680661,636
18826,TTHERM_000310209,636
18981,TTHERM_01043300,635
18985,TTHERM_00794450,635
18982,TTHERM_00410202,635
18984,TTHERM_00391330,635
18980,TTHERM_00239080,635
18983,TTHERM_00133450,635
18979,TTHERM_00079720,635
20032,TTHERM_00446540,634
20031,TTHERM_00423360,634
20030,TTHERM_00046830,634
19687,TTHERM_00994160,633
19684,TTHERM_00411310,633
